Cluster 01,Cluster 02,Cluster 03,Cluster 04,Cluster 05,Cluster 06,Cluster 07,Cluster 08,Cluster 09,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
'02458','01056','00772','02667','01428','00917','02107','01068','01038','01775','01626','02689','03793','02823','01364',,'02369',,'03206','04334'
'02472','01072','00776','02682','01433','00929','02123','01074','01051','01792','01635','02745','03797','02842','01377',,'02423',,'03210','04357'
'02496','01077','00777','02684','01436','00933','02127','01075','01070','01797','01652','02788','03871','02851','01406',,'02466',,'03223','04493'
'02520','01091','00788','02702','01453','00934','02132','01081','01093','01802','01660','02826','03902','02875','01425',,'02540',,'03236','04551'
'02543','01099','00802','02783','01472','00955','02166','01119','01094','01809','01674','02876','03928','02885','01435',,'02574',,'03242','04559'
'02548','01118','00832','02789','01475','00983','02185','01121','01096','01817','01709','02895','04026','02913','01437',,'02579',,'03248','04577'
'02616','01133','00844','02805','01482','01005','02203','01130','01114','01889','01724','02902','04035','02970','01446',,'02580',,'03286','04605'
'02636','01139','00858','02825','01516','01015','02270','01131','01144','01928','01726','02915','04039','03025','01447',,'02609',,'03372','04695'
'02688','01162','00861','02860','01537','01020','02303','01164','01147','01931','01735','02941','04044','03029','01470',,'02621',,'03382','04702'
'02714','01181','00871','02877','01539','01024','02324','01172','01149','01952','01742','02960','04047','03048','01498',,'02628',,'03414','04713'
'02723','01187','00887','02893','01555','01034','02384','01177','01151','01977','01768','02971','04101','03064','01522',,'02655',,'03458','04748'
'02765','01195','00895','02984','01575','01036','02392','01184','01154','02022','01784','02972','04110','03087','01557',,'02694',,'03499','04792'
'02779','01199','00900','03073','01633','01037','02501','01191','01156','02028','01798','02980','04135','03101','01573',,'02721',,'03512','04817'
'02784','01215','00902','03169','01636','01079','02511','01220','01163','02035','01806','03032','04212','03191','01614',,'02833',,'03533','04828'
'02793','01223','00904','03246','01664','01097','02550','01228','01165','02051','01824','03062','04235','03192','01630',,'02843',,'03595','04857'
'02801','01227','00913','03259','01686','01103','02552','01237','01180','02056','01829','03070','04261','03271','01639',,'02858',,'03626','04865'
'02813','01231','00916','03324','01688','01124','02622','01245','01185','02064','01837','03071','04270','03284','01680',,'02945',,'03660','04866'
'02855','01242','00920','03399','01689','01157','02631','01251','01190','02065','01839','03103','04311','03295','01696',,'02968',,'03737','04920'
'02873','01255','00930','03425','01698','01159','02724','01263','01203','02083','02030','03110','04316','03307','01703',,'02989',,'03741','05001'
'03003','01268','00932','03531','01706','01166','02731','01281','01214','02134','02114','03150','04326','03331','01713',,'03004',,'03771','05005'
'03023','01269','00951','03600','01707','01168','02741','01322','01236','02157','02141','03166','04362','03370','01721',,'03035',,'03890',
'03028','01271','00957','03661','01741','01188','02743','01355','01246','02217','02193','03179','04363','03401','01767',,'03047',,'03919',
'03105','01282','00959','03684','01744','01201','02763','01405','01259','02218','02219','03213','04398','03439','01814',,'03065',,'03945',
'03109','01283','00961','03686','01761','01202','02767','01409','01262','02225','02250','03245','04400','03471','01820',,'03067',,'03950',
'03116','01294','00967','03696','01780','01213','02773','01411','01264','02234','02259','03272','04465','03495','01835',,'03094',,'03959',
'03136','01298','00971','03702','01783','01239','02785','01454','01273','02243','02277','03281','04478','03503','01846',,'03120',,'04057',
'03218','01318','01002','03707','01785','01302','02792','01489','01274','02244','02279','03293','04514','03521','01863',,'03135',,'04072',
'03251','01328','01003','03723','01812','01324','02795','01497','01275','02246','02307','03354','04518','03529','01876',,'03152',,'04080',
